price_in_aed,kilometers,body_condition,mechanical_condition,seller_type,body_type,no_of_cylinders,transmission_type,regional_specs,horsepower,fuel_type,steering_side,year,color,emirate,motors_trim,company,model,age,km_per_year
24000,416027,"A bit of wear & tear, all repaired","Minor faults, all fixed",Owner,Sedan,4.0,Automatic Transmission,GCC Specs,125.0,Gasoline,Left Hand Side,2015.0,Black,Ajman,SL,nissan,sentra,11.0,37820.63636363636
26500,175000,Perfect inside and out,Perfect inside and out,Owner,SUV,4.0,Automatic Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2013.0,Silver, Dubai,GL,hyundai,tucson,13.0,13461.538461538461
79500,165000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2018.0,White, Dubai,SR,nissan,maxima,8.0,20625.0
139000,66000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,12.0,Automatic Transmission,GCC Specs,550.0,Gasoline,Left Hand Side,2009.0,White, Dubai,Other,bentley,continental-gt,17.0,3882.3529411764707
315000,65000,Perfect inside and out,Perfect inside and out,Dealer,Sports Car,8.0,Automatic Transmission,GCC Specs,550.0,Gasoline,Left Hand Side,2016.0,White, Dubai,GT,bentley,continental,10.0,6500.0
299000,92000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,European Specs,550.0,Gasoline,Left Hand Side,2017.0,White, Dubai,G 63 AMG,mercedes-benz,g-class,9.0,10222.222222222223
220000,44635,Perfect inside and out,Perfect inside and out,Dealership/Certified Pre-Owned,SUV,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2019.0,Grey, Dubai,HSE,land-rover,discovery,7.0,6376.428571428572
111000,68000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2015.0,Black,Abu Dhabi,CLS 400,mercedes-benz,cls-class,11.0,6181.818181818182
44100,178000,Perfect inside and out,Perfect inside and out,Dealer,Hard Top Convertible,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2010.0,Blue, Dubai,Sdrive30i,bmw,z4,16.0,11125.0
349000,3500,Perfect inside and out,Perfect inside and out,Dealership/Certified Pre-Owned,Sedan,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2021.0,White, Dubai,Ghibli,maserati,ghibli,5.0,700.0
195000,84460,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6.0,Automatic Transmission,GCC Specs,350.0,Electric,Left Hand Side,2020.0,White, Abu Dhabi,Other,tesla,model-3,6.0,14076.666666666666
48500,237507,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2012.0,Black, Dubai,S-line,audi,a7,14.0,16964.785714285714
72000,181621,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2013.0,Black, Dubai,ML 350,mercedes-benz,m-class,13.0,13970.846153846154
29500,325080,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4.0,Manual Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2015.0,White, Dubai,XL,ford,ranger,11.0,29552.727272727272
499000,3600,Perfect inside and out,Perfect inside and out,Dealership/Certified Pre-Owned,Sedan,8.0,Automatic Transmission,GCC Specs,550.0,Gasoline,Left Hand Side,2020.0,White, Dubai,GTS Plus,maserati,quattroporte,6.0,600.0
30900,142803,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4.0,Automatic Transmission,GCC Specs,125.0,Gasoline,Left Hand Side,2019.0,White, Dubai,SV,nissan,sunny,7.0,20400.428571428572
51900,125629,Perfect inside and out,Perfect inside and out,Dealer,Crossover,4.0,Automatic Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2015.0,White, Dubai,LX,kia,sportage,11.0,11420.818181818182
209000,29153,Perfect inside and out,Perfect inside and out,Dealer,SUV,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2020.0,Red, Dubai,Other,jaguar,e-pace,6.0,4858.833333333333
169000,60321,Perfect inside and out,Perfect inside and out,Dealer,SUV,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2020.0,White, Dubai,T5 R Design,volvo,xc60,6.0,10053.5
45000,197000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2013.0,White, Abu Dhabi,730Li,bmw,7-series,13.0,15153.846153846154
79000,120000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2014.0,White, Dubai,TOP,toyota,fj-cruiser,12.0,10000.0
369500,67000,Perfect inside and out,Perfect inside and out,Dealer,Sports Car,8.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2014.0,White, Dubai,GTC,bentley,continental,12.0,5583.333333333333
93000,174556,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2016.0,White, Dubai,S-line,audi,q7,10.0,17455.6
104900,22694,Perfect inside and out,Perfect inside and out,Dealer,Hatchback,6.0,Automatic Transmission,GCC Specs,125.0,Electric,Left Hand Side,2018.0,Blue, Dubai,Other,renault,other,8.0,2836.75
36000,142000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8.0,Automatic Transmission,Japanese Specs,550.0,Gasoline,Left Hand Side,2004.0,Silver, Dubai,S 55 AMG,mercedes-benz,s-class,22.0,6454.545454545455
27000,150000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6.0,Automatic Transmission,North American Specs,350.0,Gasoline,Left Hand Side,2010.0,Grey,Dubai,C300 Sport,mercedes-benz,c-class,16.0,9375.0
40000,210000,Perfect inside and out,Perfect inside and out,Owner,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2006.0,Brown, Al Ain,Safari,nissan,patrol,20.0,10500.0
29000,70373,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2017.0,White, Ajman,Standard,hyundai,elantra,9.0,7819.222222222223
65000,110000,Perfect inside and out,Perfect inside and out,Dealer,Sports Car,8.0,Automatic Transmission,GCC Specs,550.0,Gasoline,Left Hand Side,2010.0,White, Sharjah,E 63 AMG,mercedes-benz,e-class,16.0,6875.0
270000,23273,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2019.0,White, Dubai,Other,maserati,levante,7.0,3324.714285714286
112000,40926,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2020.0,White, Dubai,Other,chevrolet,blazer,6.0,6821.0
33000,210000,Perfect inside and out,Perfect inside and out,Owner,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2013.0,Red, Abu Dhabi,SXT,dodge,durango,13.0,16153.846153846154
29500,75000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2005.0,Silver, Dubai,SV,nissan,altima,21.0,3571.4285714285716
49000,166771,Perfect inside and out,Perfect inside and out,Dealer,Coupe,4.0,Automatic Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2012.0,Black, Abu Dhabi,E 250 CGI,mercedes-benz,e-class,14.0,11912.214285714286
67000,57298,Perfect inside and out,Perfect inside and out,Dealer,SUV,4.0,Automatic Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2018.0,Red, Abu Dhabi,Other,nissan,x-trail,8.0,7162.25
98000,14000,Perfect inside and out,Perfect inside and out,Dealer,Sports Car,8.0,Automatic Transmission,North American Specs,550.0,Gasoline,Left Hand Side,2019.0,Black, Dubai,SRT8 392 Scat Pack Shaker,dodge,challenger,7.0,2000.0
45000,114414,Perfect inside and out,Perfect inside and out,Owner,SUV,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2016.0,Beige, Dubai,GLS,hyundai,santa-fe,10.0,11441.4
45500,122000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6.0,Automatic Transmission,North American Specs,350.0,Gasoline,Left Hand Side,2016.0,Purple, Dubai,Other,nissan,maxima,10.0,12200.0
139900,20,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2020.0,White, Dubai,SV,nissan,pathfinder,6.0,3.3333333333333335
199900,117000,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,6.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2017.0,Silver, Dubai,SVT Raptor,ford,f-series-pickup,9.0,13000.0
22500,340000,Perfect inside and out,Perfect inside and out,Owner,Wagon,4.0,Manual Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2015.0,White, Dubai,Standard,volkswagen,caddy,11.0,30909.090909090908
89000,119000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2014.0,Gold, Dubai,Ghibli S,maserati,ghibli,12.0,9916.666666666666
90000,140000,Perfect inside and out,Perfect inside and out,Owner,SUV,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2016.0,Silver, Dubai,Super Safari,nissan,patrol,10.0,14000.0
125000,0,Perfect inside and out,Perfect inside and out,Dealer,Coupe,4.0,Automatic Transmission,Other,350.0,Gasoline,Left Hand Side,2019.0,White, Dubai,Ecoboost,ford,mustang,7.0,0.0
25000,103933,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2008.0,Grey, Dubai,740Li,bmw,7-series,18.0,5774.055555555556
75000,96786,Perfect inside and out,Perfect inside and out,Owner,Sports Car,8.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2011.0,White, Dubai,S,maserati,quattroporte,15.0,6452.4
285000,51000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8.0,Automatic Transmission,North American Specs,650.0,Gasoline,Left Hand Side,2018.0,Black, Dubai,E 63 AMG,mercedes-benz,e-class,8.0,6375.0
189900,99500,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,6.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2018.0,Blue, Dubai,SVT Raptor,ford,f-series-pickup,8.0,12437.5
33000,158500,Perfect inside and out,Perfect inside and out,Owner,SUV,8.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2008.0,Black, Dubai,ML 500,mercedes-benz,m-class,18.0,8805.555555555555
242000,69335,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2019.0,Silver, Dubai,Reserve,lincoln,navigator,7.0,9905.0
18000,257291,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2008.0,Grey, Dubai,GLS,mitsubishi,pajero,18.0,14293.944444444445
75000,57000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2010.0,White, Dubai,Tx-l MID,toyota,prado,16.0,3562.5
86000,85401,Perfect inside and out,Perfect inside and out,Dealer,Hatchback,4.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2014.0,Black, Dubai,AMG A 45+,mercedes-benz,a-class,12.0,7116.75
449000,65000,Perfect inside and out,Perfect inside and out,Owner,Sports Car,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2020.0,Grey, Sharjah,Carrera 4,porsche,carrera,6.0,10833.333333333334
37000,124571,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2013.0,White, Dubai,Limited,ford,edge,13.0,9582.384615384615
159000,103000,Perfect inside and out,Perfect inside and out,Owner,Soft Top Convertible,6.0,Automatic Transmission,Other,350.0,Gasoline,Left Hand Side,2018.0,White, Dubai,Standard,mercedes-benz,c43,8.0,12875.0
41500,65000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4.0,Automatic Transmission,North American Specs,175.0,Gasoline,Left Hand Side,2019.0,Grey, Sharjah,SE,hyundai,sonata,7.0,9285.714285714286
30000,178000,Perfect inside and out,Perfect inside and out,Owner,SUV,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2011.0,White, Dubai,GLS,mitsubishi,pajero,15.0,11866.666666666666
41000,124241,Perfect inside and out,Perfect inside and out,Dealer,Van,4.0,Automatic Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2019.0,White, Dubai,SE,toyota,avanza,7.0,17748.714285714286
59999,67000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4.0,Automatic Transmission,North American Specs,350.0,Gasoline,Left Hand Side,2017.0,White, Sharjah,Ecoboost Premium,ford,mustang,9.0,7444.444444444444
148000,148000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,North American Specs,450.0,Gasoline,Left Hand Side,2014.0,White, Sharjah,Supercharged,land-rover,range-rover,12.0,12333.333333333334
20000,100800,"A bit of wear & tear, all repaired",Perfect inside and out,Owner,SUV,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2012.0,White, Dubai,LX,kia,sorento,14.0,7200.0
39900,75288,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4.0,Automatic Transmission,GCC Specs,125.0,Gasoline,Left Hand Side,2017.0,Black, Dubai,GLS,mitsubishi,lancer,9.0,8365.333333333334
53000,57000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,4.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2017.0,Red, Sharjah,Cooper S,mini,cooper,9.0,6333.333333333333
47600,52000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4.0,Automatic Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2020.0,White, Dubai,SE,toyota,yaris,6.0,8666.666666666666
79900,43000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,4.0,Automatic Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2018.0,White, Dubai,Other,subaru,brz,8.0,5375.0
40000,270000,Perfect inside and out,Perfect inside and out,Owner,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2008.0,Beige, Dubai,ML 350,mercedes-benz,m-class,18.0,15000.0
50000,115000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2014.0,White, Sharjah,SRT8 392 Scat Pack Shaker,dodge,challenger,12.0,9583.333333333334
59000,200000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2013.0,Green, Dubai,Sport,jeep,wrangler,13.0,15384.615384615385
169500,52952,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2017.0,Blue, Dubai,540i,bmw,5-series,9.0,5883.555555555556
32000,65000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4.0,Automatic Transmission,GCC Specs,125.0,Gasoline,Left Hand Side,2018.0,White, Abu Dhabi,S,nissan,sentra,8.0,8125.0
49000,90000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2014.0,Red, Dubai,Premium Luxury,jaguar,xf,12.0,7500.0
64900,166000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4.0,Automatic Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2015.0,Silver, Dubai,520i Exclusive,bmw,5-series,11.0,15090.90909090909
249999,4656,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2021.0,Grey, Dubai,E 350,mercedes-benz,e-class,5.0,931.2
17500,72306,Perfect inside and out,Perfect inside and out,Dealer,Hatchback,6.0,Automatic Transmission,Japanese Specs,175.0,Gasoline,Left Hand Side,2007.0,White, Dubai,Other,dodge,magnum,19.0,3805.5789473684213
350000,32000,Perfect inside and out,Perfect inside and out,Owner,Soft Top Convertible,8.0,Automatic Transmission,Other,650.0,Gasoline,Left Hand Side,2015.0,Black, Dubai,GT,bentley,continental,11.0,2909.090909090909
139000,74000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2018.0,White, Dubai,Unlimited,jeep,wrangler,8.0,9250.0
131900,56000,Perfect inside and out,Perfect inside and out,Owner,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2018.0,Blue, Dubai,Premium,infiniti,qx60,8.0,7000.0
179800,23857,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8.0,Automatic Transmission,Japanese Specs,350.0,Gasoline,Left Hand Side,2016.0,White, Dubai,S 550,mercedes-benz,s-class,10.0,2385.7
35000,120732,Perfect inside and out,Perfect inside and out,Owner,Utility Truck,4.0,Automatic Transmission,GCC Specs,125.0,Diesel,Left Hand Side,2018.0,White, Dubai,Standard,peugeot,expert,8.0,15091.5
30000,176000,Perfect inside and out,Perfect inside and out,Owner,Van,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2012.0,Grey, Dubai,Touring,honda,odyssey,14.0,12571.42857142857
50000,169941,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2007.0,Grey, Dubai,Other,porsche,cayman,19.0,8944.263157894737
73500,138000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2011.0,White, Sharjah,4S,porsche,panamera,15.0,9200.0
119999,10000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2019.0,Black, Dubai,Other,lexus,is-series,7.0,1428.5714285714287
85000,74600,Perfect inside and out,Perfect inside and out,Owner,SUV,6.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2016.0,White, Dubai,Platinum,ford,explorer,10.0,7460.0
15500,160000,Perfect inside and out,Perfect inside and out,Owner,Coupe,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2009.0,Grey, Dubai,Luxury,infiniti,gseries,17.0,9411.764705882353
349000,56517,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2020.0,Blue, Dubai,Standard,audi,s7rs7,6.0,9419.5
65000,35000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6.0,Automatic Transmission,European Specs,350.0,Gasoline,Left Hand Side,2018.0,Grey, Sharjah,SXT 100th Anniversary Edition,dodge,challenger,8.0,4375.0
112000,0,Perfect inside and out,Perfect inside and out,Dealer,Crossover,6.0,Automatic Transmission,GCC Specs,250.0,Electric,Left Hand Side,2021.0,White, Dubai,Crozz,volkswagen,id4,5.0,0.0
350000,34803,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8.0,Automatic Transmission,GCC Specs,550.0,Gasoline,Left Hand Side,2015.0,Blue, Dubai,Other,bentley,continental,11.0,3163.909090909091
49000,90000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2017.0,Red, Abu Dhabi,Reserve,lincoln,mkz,9.0,10000.0
17500,220000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4.0,Automatic Transmission,GCC Specs,125.0,Gasoline,Left Hand Side,2016.0,Red, Dubai,Titanium,ford,figo,10.0,22000.0
89000,81000,Perfect inside and out,Perfect inside and out,Owner,Coupe,4.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2015.0,Grey, Dubai,428i Sport-line,bmw,4-series,11.0,7363.636363636364
69000,96000,Perfect inside and out,Perfect inside and out,Owner,SUV,8.0,Automatic Transmission,GCC Specs,550.0,Gasoline,Left Hand Side,2012.0,Black, Dubai,Other,land-rover,range-rover-sport,14.0,6857.142857142857
52000,45000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2016.0,Purple, Sharjah,SXT 100th Anniversary Edition,dodge,challenger,10.0,4500.0
165000,65186,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,Other,250.0,Gasoline,Left Hand Side,2019.0,Gold, Dubai,F Sport,lexus,rx-series,7.0,9312.285714285714
72000,130000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4.0,Automatic Transmission,GCC Specs,125.0,Gasoline,Left Hand Side,2015.0,White, Sharjah,528i,bmw,5-series,11.0,11818.181818181818
129000,73000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6.0,Automatic Transmission,Other,350.0,Gasoline,Left Hand Side,2017.0,Blue, Sharjah,E400,mercedes-benz,e-class,9.0,8111.111111111111
165000,101000,Perfect inside and out,Perfect inside and out,Owner,Coupe,8.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2008.0,Grey, Dubai,Standard,aston-martin,vantage,18.0,5611.111111111111
420000,72533,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,GCC Specs,550.0,Gasoline,Left Hand Side,2018.0,Blue, Dubai,Autobiography,land-rover,range-rover,8.0,9066.625
55000,160500,Perfect inside and out,Perfect inside and out,Owner,SUV,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2014.0,Grey, Dubai,SEL,volkswagen,touareg,12.0,13375.0
235000,87609,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,6.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2017.0,Black, Dubai,Other,ford,f-series-pickup,9.0,9734.333333333334
29500,190737,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2011.0,White, Dubai,Laredo,jeep,grand-cherokee,15.0,12715.8
18000,110000,Perfect inside and out,Perfect inside and out,Owner,Van,4.0,Manual Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2016.0,White, Dubai,Standard,renault,dokker,10.0,11000.0
42900,45919,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4.0,Automatic Transmission,GCC Specs,175.0,Gasoline,Left Hand Side,2017.0,Beige, Dubai,LE,renault,fluence,9.0,5102.111111111111
175000,69000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2018.0,White, Dubai,SE Platinum,nissan,patrol,8.0,8625.0
52000,77000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6.0,Automatic Transmission,Japanese Specs,350.0,Gasoline,Left Hand Side,2011.0,Silver, Dubai,E 350,mercedes-benz,e-class,15.0,5133.333333333333
30000,196352,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2013.0,Silver, Dubai,Other,ford,edge,13.0,15104.0
89000,121176,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2015.0,Black, Dubai,LS,chevrolet,tahoe,11.0,11016.0
23000,2000,Perfect inside and out,Perfect inside and out,Dealer,Other,6.0,Automatic Transmission,Japanese Specs,125.0,Electric,Left Hand Side,2019.0,White, Ajman,Standard,renault,twizy,7.0,285.7142857142857
130000,122000,Perfect inside and out,Perfect inside and out,Owner,SUV,8.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2016.0,White, Dubai,LE Titanium,nissan,patrol,10.0,12200.0
78000,50500,Perfect inside and out,Perfect inside and out,Owner,Utility Truck,6.0,Manual Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2016.0,White, Dubai,Other,isuzu,other,10.0,5050.0
146900,78352,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2019.0,Grey, Dubai,Basic,nissan,patrol,7.0,11193.142857142857
48500,130000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2015.0,Silver, Dubai,Base,ford,explorer,11.0,11818.181818181818
15900,90000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2010.0,Silver, Dubai,Other,nissan,altima,16.0,5625.0
35000,149791,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2012.0,Brown, Dubai,SE,nissan,armada,14.0,10699.357142857143
225000,0,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,8.0,Automatic Transmission,GCC Specs,450.0,Gasoline,Left Hand Side,2021.0,White, Dubai,Other,dodge,ram,5.0,0.0
250000,53000,Perfect inside and out,Perfect inside and out,Owner,Crossover,4.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2020.0,Silver, Dubai,R-Dynamic,land-rover,range-rover-evoque,6.0,8833.333333333334
59000,51000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,2019.0,Black, Sharjah,SXT,dodge,charger,7.0,7285.714285714285
55000,95000,Perfect inside and out,Perfect inside and out,Owner,SUV,8.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2012.0,White, Dubai,Xdrive50i,bmw,x5,14.0,6785.714285714285
154000,154000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2016.0,White, Sharjah,Nismo,nissan,patrol,10.0,15400.0
35000,200000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2010.0,Blue, Dubai,HSE,land-rover,range-rover-sport,16.0,12500.0
32000,187909,Perfect inside and out,Perfect inside and out,Dealer,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2013.0,Blue, Dubai,Limited,ford,edge,13.0,14454.538461538461
125000,96706,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2016.0,Brown, Abu Dhabi,S,maserati,ghibli,10.0,9670.6
119000,38000,Perfect inside and out,Perfect inside and out,Owner,SUV,6.0,Automatic Transmission,GCC Specs,250.0,Gasoline,Left Hand Side,2017.0,White, Dubai,Sport,jeep,wrangler,9.0,4222.222222222223
229999,82036,Perfect inside and out,Perfect inside and out,Dealer,Sedan,6.0,Automatic Transmission,North American Specs,250.0,Gasoline,Left Hand Side,1954.0,Black, Sharjah,Other,chrysler,other,72.0,1139.388888888889
93000,40000,Perfect inside and out,Perfect inside and out,Owner,SUV,6.0,Automatic Transmission,GCC Specs,350.0,Gasoline,Left Hand Side,2017.0,Red, Sharjah,Sport,jeep,wrangler,9.0,4444.444444444444
